0 1 0 0  0 2.996450000000002 0.13516
1 0 0 0  0 2.996450000000002 0.13516
0 1 1 -1  0 2.996450000000002 0.13516
1 0 -1 1  0 2.996450000000002 0.13516
0 1 -1 0  0 4.16810101010101 -7.813941414141408
1 0 1 0  0 4.16810101010101 -7.813941414141408
0 1 0 -1  0 4.16810101010101 -7.813941414141408
1 0 0 1  0 4.16810101010101 -7.813941414141408
0 1 1 0  0 4.16810101010101 -7.813941414141408
1 0 -1 0  0 4.16810101010101 -7.813941414141408
0 1 2 -1  0 4.16810101010101 -7.813941414141408
1 0 -2 1  0 4.16810101010101 -7.813941414141408
0 1 -2 0  0 6.589873417721513 0.00411012658227848
1 0 2 0  0 6.589873417721513 0.00411012658227848
0 1 -1 -1  0 6.589873417721513 0.00411012658227848
1 0 1 1  0 6.589873417721513 0.00411012658227848
0 1 2 0  0 6.589873417721513 0.00411012658227848
1 0 -2 0  0 6.589873417721513 0.00411012658227848
0 1 3 -1  0 6.589873417721513 0.00411012658227848
1 0 -3 1  0 6.589873417721513 0.00411012658227848
0 1 -3 0  0 9.211974193548363 -0.05035225806451618
1 0 3 0  0 9.211974193548363 -0.05035225806451618
0 1 -2 -1  0 9.211974193548363 -0.05035225806451618
1 0 2 1  0 9.211974193548363 -0.05035225806451618
0 1 -2 1  0 9.211974193548363 -0.05035225806451618
1 0 2 -1  0 9.211974193548363 -0.05035225806451618
0 1 -1 1  0 9.211974193548363 -0.05035225806451618
1 0 1 -1  0 9.211974193548363 -0.05035225806451618
0 1 0 1  0 9.211974193548363 -0.05035225806451618
1 0 0 -1  0 9.211974193548363 -0.05035225806451618
0 1 1 -2  0 9.211974193548363 -0.05035225806451618
1 0 -1 2  0 9.211974193548363 -0.05035225806451618
0 1 2 -2  0 9.211974193548363 -0.05035225806451618
1 0 -2 2  0 9.211974193548363 -0.05035225806451618
0 1 3 -2  0 9.211974193548363 -0.05035225806451618
1 0 -3 2  0 9.211974193548363 -0.05035225806451618
0 1 3 0  0 9.211974193548363 -0.05035225806451618
1 0 -3 0  0 9.211974193548363 -0.05035225806451618
0 1 4 -1  0 9.211974193548363 -0.05035225806451618
1 0 -4 1  0 9.211974193548363 -0.05035225806451618
0 1 -3 1  0 10.626574468085108 -0.01746808510638297
1 0 3 -1  0 10.626574468085108 -0.01746808510638297
0 1 0 -2  0 10.626574468085108 -0.01746808510638297
1 0 0 2  0 10.626574468085108 -0.01746808510638297
0 1 1 1  0 10.626574468085108 -0.01746808510638297
1 0 -1 -1  0 10.626574468085108 -0.01746808510638297
0 1 4 -2  0 10.626574468085108 -0.01746808510638297
1 0 -4 2  0 10.626574468085108 -0.01746808510638297
0 1 -4 0  0 12.32028000000001 -0.016654666666666665
1 0 4 0  0 12.32028000000001 -0.016654666666666665
0 1 -4 1  0 12.32028000000001 -0.016654666666666665
1 0 4 -1  0 12.32028000000001 -0.016654666666666665
0 1 -3 -1  0 12.32028000000001 -0.016654666666666665
1 0 3 1  0 12.32028000000001 -0.016654666666666665
0 1 -1 -2  0 12.32028000000001 -0.016654666666666665
1 0 1 2  0 12.32028000000001 -0.016654666666666665
0 1 2 1  0 12.32028000000001 -0.016654666666666665
1 0 -2 -1  0 12.32028000000001 -0.016654666666666665
0 1 4 0  0 12.32028000000001 -0.016654666666666665
1 0 -4 0  0 12.32028000000001 -0.016654666666666665
0 1 5 -2  0 12.32028000000001 -0.016654666666666665
1 0 -5 2  0 12.32028000000001 -0.016654666666666665
0 1 5 -1  0 12.32028000000001 -0.016654666666666665
1 0 -5 1  0 12.32028000000001 -0.016654666666666665
0 1 -5 0  0 14.891760000000003 -2.1040266666666683
1 0 5 0  0 14.891760000000003 -2.1040266666666683
