  0.00165332    0.01006847    6.13918293    
  0.00288580    2.95917070    6.12816314    
 -1.47204637    1.48817821    6.16841404    
 -1.47133377    4.43404276    6.17044577    
 -1.47283856    1.49597447    4.06485836    
 -1.47151767    4.44438531    4.06457014
  0.00199637    0.02341530    4.06712351    
 -0.00323415    2.96640465    4.05857751   
  0.00140046    2.98256125    1.98693008 
  0.00220148    0.03590629    1.99034990    
 -1.47200747    1.50624629    1.96888676    
 -1.47217899    4.45404178    1.96919090    
